#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
杀『阿大』【a da】exp=500K,岱庙:6n,e配寝殿 @/d/daimiao/npc/xintu.c
杀『阿二』【a er】exp=500K,岱庙:6n,w配寝殿 @/d/daimiao/npc/xintu2.c
杀『阿发』【afa】exp<1K,天机:4w,n @/d/fy/npc/afa.c
杀『阿飞』【afei】exp=10M, @/d/qianjin/npc/afei.c
杀『阿福』【afu】exp=50K,清平燕儿:e,se,e @/d/qingping/npc/afu.c
杀『阿黄』【yellow dog】exp=5K, @/d/taoyuan/npc/dog.c
杀『阿里木』【eagle alimu】exp=6M, @/d/xinjiang/npc/police1.c
杀『阿毛』【amao】exp<1K,嵩山:梦焕ne @/d/songshan/npc/amao.c
杀『阿水』【a shui】exp=2M, @/d/shanliu/npc/tianzong2.c
杀『阿修罗魔』【evil】exp=6M, @/d/taiping/npc/evil3.c
杀『阿修罗王』【xiuluo】exp=10M, @/d/eren2/npc/firegod.c
杀『阿言』【a yan】exp=2M, @/d/shanliu/npc/tianzong3.c
杀『阿依古丽』【waiter】exp<1K,新疆 @/d/xinjiang/npc/waiter2.c
杀『矮胖子土匪』【bandit】exp<1K, @/d/oldpine/npc/fat_bandit.c
杀『安生店伙计』【huo ji】exp=380K,天机:4w,s @/d/fy/npc/an_huoji.c
杀『安子豪』【an zihao】exp=8M, @/d/taiping/npc/anzihao.c
杀『昂日鸡』【killer x】exp=1M, @/d/cave/npc/killer_x.c
杀『八月初八』【devil waiter】exp=4M, @/d/cave/npc/devilwaiter.c
杀『白额猛虎』【tiger】exp=20K,莽林 @/d/manglin/npc/tiger.c
杀『白发苍苍的老太婆』【taipo】exp=4M, @/d/biancheng/npc/taipo.c
杀『白飞飞』【bai feifei】exp=600K,快活林.快活王2n,w @/d/loulan/npc/bai.c
杀『白夫人』【bai furen】exp=5M, @/d/eren2/npc/star_horse.c
杀『白环』【bai huan】exp=500K,黄山 @/d/huangshan/npc/su2.c
杀『白颈灰熊』【bear】exp=20K,莽林 @/d/manglin/npc/bear.c
杀『白菊』【bai ju】exp=8K, @/d/huashan/npc/girl1.c
