燕南天,草帽,caomao
毛皋,残骨令,cgling
胭松,天竺佛珠,fozhu
石观音,天缺古月寒,guyuehan
兴国大师,鸿孤遗托,hgyituo
雪蕊儿,流星蝴蝶剑,hudie-sword
小马,护花铃,huhualing
屠龙仙子,琥珀神剑,hupo-sword
班察巴那,五花神弓,iron-bow
铁传甲,铁甲袍,ironrobe
天机老人,觇玉软靴,jade-boots
天机老人,觇玉发簪,jade-pin
天机老人,觇玉戒指,jade-ring
李霞,金牙箍,jygu
郝生意,太平灯笼,lantern
瞎老爹,夜明珠,lighting-pearl
阿毛,鲁班尺,lubanchi
姬葬花,罂粟迷药,miyao
邵大师,磨刀石,modao-stone
南宫十三郎,南宫家谱,ngjiapu
枯梅大师,凝碧剑,ningsword
柳无眉,千年温玉,old jade
唐一方,鹿皮手套,shoutao
齐小燕,弹弓,slingshot
孤松先生,松牌,songpai
李红袍,武夷茶叶,tea-leaves
白水娘娘,天一神水,tianyi poison
铁中棠,铁血大旗,tiexue-flag
朱五太爷,搏浪锤,wave-hammer
郭大路,猴儿酒,wine-hulu
丁鹏,出跸刀,wood-wandao
连城璧,侠义无双令,xiayiling
朱藻,仙笑歌,xxge
快活王,夜光杯,yeguangbei
方玉飞,银钩牌,yingoupai
青竹先生,竹牌,zhupai
阿发,阿发日记,afrji　                　
表哥,巴山图,bstu
公子羽,天地交征阴阳大悲赋,dabei-book　　
赤松,大昭密文,dzmwen
屠大,大鹏飞砣,feituo hammer　        　
上官金虹,金钱,goldcoin
红娘子,五罗轻烟帕,handkerchief　     　
黄麻子,红包,hongbao
林仙儿,金红散花衣,huaqun　           　
淳于怀太,极乐丹,jiledan
王仁德,考题,kaoti　                  　
农具店老板,砍林刀,lindao
逍遥侯,逍遥紫袍,magrobe　            　
寒梅先生,梅牌,meipai
金灵芝,沧海明月心,moonheart　        　
良家妇女,卖身契,msqi
箫王孙,暴雨梨花针,needle box　       　
楚留香,踏月飘香扇,pxshan
黑袍公,棋盘,qipan　                  　
古丽娜,曲蔓,quman
木拉提,英吉沙快刀,sharp dagger　     　
百晓生,神兵谱,shenbingpu
朱笔判官,生死簿,shengsibu　          　
心湖,方丈手谕,shouyu
孙天灭,三清宫规,sqgonggui　          　
酒肉和尚,三字经,szjing
霍天青,天禽令,tianqin-pai　          　
谢长勤,武当录,wudanglu
西门吹雪,无剑心法,wujianxinfa　      　
石雁,太极五行牌,wuxingpai
秋水夫人,相思结,xiangsi-silk　       　
丁白云,降魔道法,xmdaofa
殷正廉,知府印章,yinzhang　           　
常胜将军,武穆遗书,yue-script
苏蓉蓉,白玉美人,yumeiren　           　
陆小凤,指环儿,zhihuan

