//马亦云,ma yiyun,yihua,燕南天 2w,m1-yihua;nw;w;w;waitKill,yan nantian
//马行空,ma xingkong,shanxi,夹棍ne
//独孤痴,du gu chi,xs,过光阴树 上 雪山
唐青,tang qing,qiushui,qiushui/npc/tangqing,m1-qiushui;k lao zhao;e,
李大狗,lee dog,qiushui,qiushui/npc/leedog,m1-qiushui;k lao zhao;e,
铁和尚,tie monk,qiushui,qiushui/npc/tiemonk,m1-qiushui;k lao zhao;e,
阴小桃,lady,qiushui,qiushui/npc/lady,m1-qiushui;k lao zhao;e,
孔兰君,kong lanjun,taoguan,taoguan/npc/konglanjun,m1-taoguan;westup;northup;northup;northup;northup,fly
魏宝宝,kid,wudang,wudang/npc/kid1,m1-wudang;south;south;south,random-move
陶宝宝,kid,wudang,wudang/npc/kid2,m1-wudang;south;south;south,random-move
陶包包,kid,wudang,wudang/npc/kid3,m1-wudang;south;south;south,random-move
魏包包,kid,wudang,wudang/npc/kid4,m1-wudang;south;south;south,random-move
牡丹,pretty girl,palace,palace/npc/pgirl1,m1-palace;north;north;west;west;north;actionPause;south;south,
玫瑰,pretty girl,palace,palace/npc/pgirl2,m1-palace;north;north;west;west;north;actionPause;south;south,
杜鹃,pretty girl,palace,palace/npc/pgirl3,m1-palace;north;north;west;west;north;actionPause;south;south,
冬青,pretty girl,palace,palace/npc/pgirl4,m1-palace;north;north;west;west;north;actionPause;south;south,
小兰,pretty girl,palace,palace/npc/pgirl5,m1-palace;north;north;west;west;north;actionPause;south;south,
南风,playing girl,palace,palace/npc/mgirl1,m1-palace;north;east;east,
东风,playing girl,palace,palace/npc/mgirl2,m1-palace;north;east;east,
北风,playing girl,palace,palace/npc/mgirl3,m1-palace;north;east;east,
西风,playing girl,palace,palace/npc/mgirl4,m1-palace;north;east;east,
红中,playing girl,palace,palace/npc/mgirl5,m1-palace;north;east;east,
北风,playing girl,palace,palace/npc/mgirl6,m1-palace;north;east;east,
西风,playing girl,palace,palace/npc/mgirl7,m1-palace;north;east;east,
红中,playing girl,palace,palace/npc/mgirl8,m1-palace;north;east;east,
梦乡,shaolin monk,shaolin,shaolin/npc/smonk1,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦初,shaolin monk,shaolin,shaolin/npc/smonk2,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦寐,shaolin monk,shaolin,shaolin/npc/smonk3,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦流,shaolin monk,shaolin,shaolin/npc/smonk4,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦丢,shaolin monk,shaolin,shaolin/npc/smonk5,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦都,shaolin monk,shaolin,shaolin/npc/smonk6,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦遗,shaolin monk,shaolin,shaolin/npc/smonk7,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦失,shaolin monk,shaolin,shaolin/npc/smonk8,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
梦幻,shaolin monk,shaolin,shaolin/npc/smonk9,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown,
一茵,shaolin monk,shaolin,shaolin/npc/bmonk1,m2-shaolin,
一园,shaolin monk,shaolin,shaolin/npc/bmonk1,m2-shaolin,
一幻,shaolin monk,shaolin,shaolin/npc/bmonk1,m2-shaolin,
一空,shaolin monk,shaolin,shaolin/npc/bmonk1,m2-shaolin,
地普,shaolin monk,shaolin,shaolin/npc/dmonk1,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown;northup;northdown;#3 northup;northdown,
地单,shaolin monk,shaolin,shaolin/npc/dmonk2,m1-shaolin;northup;northup;northup;up;north;north;north;north;northup;northdown;northup;northdown;#3 northup;northdown,
一算,shaolin monk,shaolin,shaolin/npc/umonk1,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一寐,shaolin monk,shaolin,shaolin/npc/umonk2,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一余,shaolin monk,shaolin,shaolin/npc/umonk3,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一时,shaolin monk,shaolin,shaolin/npc/umonk4,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一格,shaolin monk,shaolin,shaolin/npc/umonk5,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一已,shaolin monk,shaolin,shaolin/npc/umonk6,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一的,shaolin monk,shaolin,shaolin/npc/umonk7,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一落,shaolin monk,shaolin,shaolin/npc/umonk8,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一那,shaolin monk,shaolin,shaolin/npc/umonk9,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
一所,shaolin monk,shaolin,shaolin/npc/umonk10,m1-shaolin;northup;northup;northup;up;north;north;north;northwest;up;up;up;actionPause;down;down;down;east;east;east;up;up;up,
天无刀,dashi,qianfo,qianfo/npc/tmonk1,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天无剑,dashi,qianfo,qianfo/npc/tmonk2,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天虎,dashi,qianfo,qianfo/npc/tmonk3,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天龙,dashi,qianfo,qianfo/npc/tmonk4,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天宣,dashi,qianfo,qianfo/npc/tmonk5,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天凤,dashi,qianfo,qianfo/npc/tmonk6,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天肥,dashi,qianfo,qianfo/npc/tmonk7,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
天兽,dashi,qianfo,qianfo/npc/tmonk8,m1-qianfo;east;east;eastup;eastup;northup;north;north;north;touch mark;north;north;#5 smile;north;north;east;push luowang;north;actionPause;west;west;actionPause;north;actionPause;east;east,
小蟑螂,cockroach,fengyun,fengyun/npc/scockroach1,north;north;north;north;east;east;east;move 竹竿,
挑水的和尚,monk,qianfo,qianfo/npc/dmonk1,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
念经的和尚,monk,qianfo,qianfo/npc/dmonk2,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
打杂的和尚,monk,qianfo,qianfo/npc/dmonk3,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
扫地的和尚,monk,qianfo,qianfo/npc/dmonk4,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
砍柴的和尚,monk,qianfo,qianfo/npc/dmonk5,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
朝拜的和尚,monk,qianfo,qianfo/npc/dmonk6,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
烧饭的和尚,monk,qianfo,qianfo/npc/dmonk7,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
淘米的和尚,monk,qianfo,qianfo/npc/dmonk8,m1-qianfo;east;east;eastup;p;eastup;p;northup;p;north;p;west;p;north;p;east;p;east;p;south,
好心的伙计,good waiter,biancheng,biancheng/npc/goodwaiter,m1-biancheng;e;s;w,
南宫小弟,xiaodi,biancheng,biancheng/npc/xiaodi,m1-biancheng,
//花月奴,hua yuenu,yihua,在 燕南天nw;n;e麻衣人north;east;n;climb up;climb up;w;l grass;pushaside;w  爬上山后有几个黑衣杀手比较危险{#11 north,nw,nw,nw,#5 {n,e},climb up,climb up,w,pushaside grass,w}
马芳玲,ma fangling,biancheng,biancheng/npc/mafangling,,fly
诸葛刚,zhuge gang,shanxi,shanxi/npc/zhugegang,m2-shanxi,
西门柔,ximen rou,shanxi,shanxi/npc/ximenrou,m2-shanxi,
屠龙仙子,long xianzi,manglin,manglin/npc/longxianzi,m1-shanliu;nh-mls;ml-climbtree;ml-climbtree,
//癞蛤蟆,unknow,biancheng,王大路对面 去边城的路上，老渔夫那里有个沼泽 来回走几步就出来了
